tag,threshold,elapsed_sec,trades,win_rate,profit_factor,avg_R,max_dd,expectancy,avg_entry_score,avg_hold_bars,avg_mfe_R,avg_mae_R,avg_win,avg_loss,entries
baseline_no_exits,0.15,22.587,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.17,21.938,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.19,21.966,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.21,21.244,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.23,21.641,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.25,21.714,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.27,22.595,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.29,22.099,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.31,21.667,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.33,21.62,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.35,21.49,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.37,19.276,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.39,20.599,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.41,20.675,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.43,20.918,0,0.0,,,0.0,0.0,,,,,,,0
baseline_no_exits,0.45,20.912,0,0.0,,,0.0,0.0,,,,,,,0