position_id,archetype,direction,entry,last_exit,entry_price,stop_loss,fusion,regime,net_pnl,n_legs,crisis,instability,size_usd,mfe_R,mae_R,reached_1R,hold_h,win
long_oi_divergence_1779663600,oi_divergence,long,2026-05-24 23:00:00+00:00,2026-05-26 15:00:00+00:00,77002.99397,76189.19,0.1817,bull,-580.82,1,0.009,0.293,52500.0,1.32,0.9,True,40.0,False
long_oi_divergence_1779753600,oi_divergence,long,2026-05-26 00:00:00+00:00,2026-05-26 17:00:00+00:00,76746.91716999999,76043.01,0.1733,neutral,-507.52,1,0.009,0.3084,52500.0,1.89,1.27,True,17.0,False
long_oi_divergence_1779883200,oi_divergence,long,2026-05-27 12:00:00+00:00,2026-05-27 13:00:00+00:00,75587.26938,74876.25,0.1539,neutral,-519.84,1,0.009,0.5207,52500.0,0.83,1.01,False,1.0,False
long_confluence_breakout_1779850800,confluence_breakout,long,2026-05-27 03:00:00+00:00,2026-05-27 21:00:00+00:00,75585.86895999999,74273.31,0.1942,neutral,-937.46,1,0.009,0.4259,52500.0,0.45,0.95,False,18.0,False
long_retest_cluster_1779886800,retest_cluster,long,2026-05-27 13:00:00+00:00,2026-05-28 03:00:00+00:00,74984.88871999999,73804.35,0.2189,neutral,-852.38,1,0.009,0.5934,52500.0,0.66,1.63,False,14.0,False
long_exhaustion_reversal_1779937200,exhaustion_reversal,long,2026-05-28 03:00:00+00:00,2026-05-30 03:00:00+00:00,73197.75274,72124.92,0.3114,neutral,171.2,2,0.009,0.3721,5250.0,1.23,0.64,True,48.0,True
long_confluence_breakout_1780149600,confluence_breakout,long,2026-05-30 14:00:00+00:00,2026-06-01 06:00:00+00:00,73867.55361999999,72974.86,0.3111,neutral,-660.4,1,0.009,0.378,52500.0,0.46,1.03,False,40.0,False
long_liquidity_compression_1779973200,liquidity_compression,long,2026-05-28 13:00:00+00:00,2026-06-01 13:00:00+00:00,72949.07815999999,71744.13,0.343,neutral,-761.72,2,0.009,0.2902,5250.0,1.3,1.29,True,96.0,False
long_liquidity_compression_1780315200,liquidity_compression,long,2026-06-01 12:00:00+00:00,2026-06-01 15:00:00+00:00,72156.6405,71094.25,0.3224,bear,-798.84,1,0.009,0.3734,52500.0,0.43,1.03,False,3.0,False
long_exhaustion_reversal_1780387200,exhaustion_reversal,long,2026-06-02 08:00:00+00:00,2026-06-02 13:00:00+00:00,69761.02203000001,68673.24,0.3001,bear,-844.47,1,0.009,0.0958,52500.0,0.38,0.92,False,5.0,False
long_liquidity_compression_1780405200,liquidity_compression,long,2026-06-02 13:00:00+00:00,2026-06-02 15:00:00+00:00,68717.30901,67413.28,0.5152,bear,-1022.03,1,0.009,0.2546,52500.0,0.35,1.26,False,2.0,False
long_failed_continuation_1780466400,failed_continuation,long,2026-06-03 06:00:00+00:00,2026-06-03 20:00:00+00:00,66915.36859,64799.87,0.39,bear,-1685.18,1,0.2475,0.0717,52500.0,0.28,1.02,False,14.0,False
long_spring_1780524000,spring,long,2026-06-03 22:00:00+00:00,2026-06-04 00:00:00+00:00,64852.549929999994,63530.44,0.5339,bear,-1096.0,1,0.2475,0.2119,52500.0,0.75,1.4,False,2.0,False
long_exhaustion_reversal_1780531200,exhaustion_reversal,long,2026-06-04 00:00:00+00:00,2026-06-04 02:00:00+00:00,63281.478749999995,61597.47,0.4874,bear,-1422.64,1,0.2475,0.2726,52500.0,0.68,1.13,False,2.0,False
long_confluence_breakout_1781312400,confluence_breakout,long,2026-06-13 01:00:00+00:00,2026-06-16 02:00:00+00:00,63824.1415,62609.41,0.1093,bear,1597.06,3,0.225,0.4256,13125.0,2.85,0.33,True,73.0,True
long_liquidity_compression_1781197200,liquidity_compression,long,2026-06-11 17:00:00+00:00,2026-06-16 14:00:00+00:00,63592.572049999995,62180.44,0.2339,neutral,1818.19,4,0.225,0.4167,5250.0,2.62,0.88,True,117.0,True
long_confluence_breakout_1781571600,confluence_breakout,long,2026-06-16 01:00:00+00:00,2026-06-17 08:00:00+00:00,66310.48718,65114.44,0.1471,neutral,-972.72,1,0.045,0.1739,52500.0,0.57,1.24,False,31.0,False
long_confluence_breakout_1781658000,confluence_breakout,long,2026-06-17 01:00:00+00:00,2026-06-17 11:00:00+00:00,65897.7634,64665.98,0.1231,neutral,-1007.1,1,0.045,0.3689,52500.0,0.25,1.08,False,10.0,False
long_confluence_breakout_1781870400,confluence_breakout,long,2026-06-19 12:00:00+00:00,2026-06-21 20:00:00+00:00,62785.12989,61512.14,0.213,bear,844.2,2,0.18,0.2473,13125.0,1.42,0.34,True,56.0,True
long_confluence_breakout_1781960400,confluence_breakout,long,2026-06-20 13:00:00+00:00,2026-06-22 22:00:00+00:00,63351.59978,62327.44,0.1476,bear,834.1600000000001,3,0.045,0.2911,13125.0,2.22,0.16,True,57.0,True
long_confluence_breakout_1782190800,confluence_breakout,long,2026-06-23 05:00:00+00:00,2026-06-23 08:00:00+00:00,63347.59858,62061.55,0.1533,bear,-1091.54,1,0.045,0.4501,52500.0,0.3,1.1,False,3.0,False
long_liquidity_compression_1782219600,liquidity_compression,long,2026-06-23 13:00:00+00:00,2026-06-24 13:00:00+00:00,62422.42111,61242.89,0.2682,bear,-1017.79,1,0.045,0.3843,52500.0,0.69,0.99,False,24.0,False
long_confluence_breakout_1782298800,confluence_breakout,long,2026-06-24 11:00:00+00:00,2026-06-24 13:00:00+00:00,62848.848999999995,61640.95,0.1529,bear,-1034.74,1,0.1125,0.4436,52500.0,0.32,1.32,False,2.0,False
long_liquidity_compression_1782313200,liquidity_compression,long,2026-06-24 15:00:00+00:00,2026-06-25 13:00:00+00:00,60194.95307,58876.75,0.3647,bear,798.53,3,0.1125,0.4887,5250.0,1.34,1.58,True,22.0,True
long_exhaustion_reversal_1782316800,exhaustion_reversal,long,2026-06-24 16:00:00+00:00,2026-06-25 13:00:00+00:00,59766.9247,58596.82,0.2875,bear,1259.78,4,0.1125,0.4891,5250.0,1.88,1.41,True,21.0,True
long_confluence_breakout_1782568800,confluence_breakout,long,2026-06-27 14:00:00+00:00,2026-06-28 17:00:00+00:00,60524.65195,59278.13,0.1338,bear,-1106.96,1,0.1575,0.4863,52500.0,0.33,0.9,False,27.0,False
long_confluence_breakout_1782655200,confluence_breakout,long,2026-06-28 14:00:00+00:00,2026-06-28 22:00:00+00:00,59952.9805,58939.08,0.2355,bear,-913.66,1,0.09,0.4676,52500.0,0.29,1.03,False,8.0,False
long_confluence_breakout_1782802800,confluence_breakout,long,2026-06-30 07:00:00+00:00,2026-06-30 15:00:00+00:00,59446.72867,58104.09,0.1498,bear,-1211.4,1,0.1575,0.374,52500.0,0.14,0.93,False,8.0,False
long_liquidity_compression_1782820800,liquidity_compression,long,2026-06-30 12:00:00+00:00,2026-07-01 21:00:00+00:00,58324.39207,57242.77,0.4999,bear,1425.78,3,0.1575,0.2809,5250.0,2.33,0.48,True,33.0,True
long_confluence_breakout_1782856800,confluence_breakout,long,2026-06-30 22:00:00+00:00,2026-07-02 10:00:00+00:00,58524.85219,57231.12,0.1446,bear,934.14,2,0.1575,0.3052,13125.0,2.17,0.56,True,36.0,True
